,연,월,환율
26,2022,12,1302.02
25,2022,11,1364.1
24,2022,10,1426.66
23,2022,09,1391.59
22,2022,08,1318.44
21,2022,07,1307.4
20,2022,06,1277.35
19,2022,05,1269.88
18,2022,04,1232.34
17,2022,03,1221.03
16,2022,02,1198.34
15,2022,01,1194.01
14,2021,12,1183.7
13,2021,11,1182.91
12,2021,10,1182.82
11,2021,09,1169.54
10,2021,08,1160.34
9,2021,07,1143.98
8,2021,06,1121.3
7,2021,05,1123.28
6,2021,04,1119.4
5,2021,03,1131.02
4,2021,02,1111.72
3,2021,01,1097.49
2,2020,12,1095.13
1,2020,11,1116.76
0,2020,10,1144.68
